source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"kursdolar","gold","Emas Bank BSI",4,"gr",3604000,3938644,"IDR","2026-07-04",""
"kursdolar","gold","Emas Bank BSI",5,"gr",4505000,4917028,"IDR","2026-07-04",""
"kursdolar","gold","Emas Bank BSI",10,"gr",9010000,9778808,"IDR","2026-07-04",""
"kursdolar","gold","Emas Bank BSI",25,"gr",22525000,24320954,"IDR","2026-07-04",""
"kursdolar","gold","Emas Bank BSI",50,"gr",45050000,48562553,"IDR","2026-07-04",""
"kursdolar","gold","Emas Bank BSI",100,"gr",90100000,97046754,"IDR","2026-07-04",""
"kursdolar","gold","Emas Bank BSI",250,"gr",225250000,242350693,"IDR","2026-07-04",""
"kursdolar","gold","Emas Bank BSI",500,"gr",470500000,499557940,"IDR","2026-07-04",""
"kursdolar","gold","Emas Bank BSI",1,"gr",882000,988428,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",2,"gr",1802000,1996946,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",2.5,"gr",2252500,2486138,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",3,"gr",2703000,2970307,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",4,"gr",3604000,3938644,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",5,"gr",4505000,4917028,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",10,"gr",9010000,9778808,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",25,"gr",22525000,24320954,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",50,"gr",45050000,48562553,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",100,"gr",90100000,97046754,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",250,"gr",225250000,242350693,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",500,"gr",470500000,499557940,"IDR","2026-07-05",""
"kursdolar","gold","Emas Bank BSI",1,"gr",882000,988428,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",2,"gr",1802000,1996946,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",2.5,"gr",2252500,2486138,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",3,"gr",2703000,2970307,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",4,"gr",3604000,3938644,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",5,"gr",4505000,4917028,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",10,"gr",9010000,9778808,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",25,"gr",22525000,24320954,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",50,"gr",45050000,48562553,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",100,"gr",90100000,97046754,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",250,"gr",225250000,242350693,"IDR","2026-07-06",""
"kursdolar","gold","Emas Bank BSI",500,"gr",470500000,499557940,"IDR","2026-07-06",""
